,Symbol,Year,Quarter,Assets,Debt,Equity,Liabilities,Provisions
66,AIC,2022,2,3853773198643.0,0.0,1086038563849.0,2767696099843.0,1930818418304.0
67,AIC,2022,3,3783020746668.0,0.0,1061680489003.0,2721331722714.0,1916504458705.0
68,AIC,2022,4,3728607263356.0,0.0,1072358908185.0,2656239820220.0,1875901122888.0
69,AIC,2023,1,3820573804882.0,0.0,1077113173290.0,2743452096641.0,1820544308993.0
70,BIC,2005,4,114528742000.0,0.0,71352664000.0,43176078000.0,31030260000.0
71,BIC,2006,4,316980467000.0,40000000000.0,210350192000.0,106630275000.0,35066609000.0
72,BIC,2007,4,720020081300.0,0.0,520150331329.0,199665519971.0,87905775669.0
73,BIC,2008,4,1746106725477.0,0.0,442408397915.0,1302471500725.0,148859297484.0
74,BIC,2009,4,1813014979852.0,0.0,518545779610.0,1294333533432.0,158145609474.0
75,BIC,2010,3,3053874392466.0,0.0,545489364760.0,2508385027706.0,202792815285.0
76,BIC,2010,4,2498435988413.0,0.0,680273578050.0,1818162410363.0,223886878993.0
77,BIC,2011,1,1285568782154.0,0.0,700219169663.0,585143061126.0,239295457770.0
78,BIC,2011,2,2344348773276.0,0.0,711962151534.0,1630745069572.0,263004577319.0
79,BIC,2011,3,2948296513190.0,0.0,732279215664.0,2215501245356.0,260381905785.0
80,BIC,2011,4,1871559439063.0,0.0,749776832401.0,1120391814711.0,251746152711.0
81,BIC,2012,1,1799436261794.0,0.0,762370721128.0,1026343848715.0,280645369208.0
82,BIC,2012,2,2383858705462.0,0.0,715488470807.0,1658578879068.0,531807285606.0
83,BIC,2012,3,1907905459004.0,0.0,742787330223.0,1158219673194.0,397296658707.0
84,BIC,2012,4,1565131733979.0,0.0,758786027067.0,802162267592.0,477699865839.0
85,BIC,2013,1,1548654685161.0,45000000000.0,770106957209.0,767072778367.0,327327844560.0
86,BIC,2013,2,1609973447697.0,40000000000.0,733107356840.0,867649841272.0,368016243479.0
87,BIC,2013,3,1699555576516.0,0.0,770969123775.0,896573598946.0,391833988950.0
88,BIC,2013,4,1751252585857.0,0.0,792916877882.0,927928280312.0,411244895824.0
89,BIC,2014,1,2423619905884.0,0.0,836541296154.0,1553239467829.0,1049870979514.0
90,BIC,2014,2,2761857546185.0,0.0,860250786729.0,1868372788801.0,1285613281553.0
91,BIC,2014,3,2842465045362.0,0.0,890710485209.0,1918311715828.0,1311221871724.0
92,BIC,2014,4,3066760133186.0,0.0,905401997829.0,2127989271776.0,78553699729.0
93,BIC,2015,1,3203739047163.0,0.0,939048012327.0,2228070938457.0,1582980884743.0
94,BIC,2015,2,3277279291380.0,0.0,881214098486.0,2356808088597.0,1581948525812.0
95,BIC,2015,3,4215770953706.0,0.0,886364154230.0,3286741046947.0,1634031209170.0
96,BIC,2015,4,4316791866425.0,0.0,1989750855028.0,2277513213861.0,1703354967021.0
97,BIC,2016,1,4675348819815.0,0.0,2028918858555.0,2600362500114.0,1877865771471.0
98,BIC,2016,2,4563632901656.0,0.0,1972582389135.0,2528499353694.0,1793403288904.0
99,BIC,2016,3,4633059046750.0,0.0,2008136848416.0,2562992563473.0,1760829757451.0
100,BIC,2016,4,4481279928847.0,0.0,2031101667294.0,2387260708370.0,1740539394699.0
101,BIC,2017,1,5173147208443.0,0.0,2075988460518.0,3044613853093.0,2280106408800.0
102,BIC,2017,2,5001029320306.0,0.0,1996605691827.0,2935118795020.0,2139795864985.0
103,BIC,2017,3,4677112254515.0,0.0,2034225755883.0,2584809180786.0,1819954011422.0
104,BIC,2017,4,4716493878106.0,0.0,2061294120877.0,2610179921682.0,1909037898144.0
105,BIC,2018,1,5018942908775.0,0.0,2120540023530.0,2864755556262.0,2155689083406.0
106,BIC,2018,2,5148606911969.0,0.0,2059400354957.0,3036707334384.0,2039553011226.0
107,BIC,2018,3,5050127003851.0,0.0,2103461094070.0,2901137489196.0,2008995775736.0
108,BIC,2018,4,5133417813552.0,0.0,2128358037798.0,2990716926172.0,2125948741241.0
