,Symbol,Year,Quarter,Assets,Debt,Equity,Loans
115,HCM,2018,4,5256305327181.0,1704132323195.0,3060536162497.0,3262014843244.0
116,HCM,2019,4,7488678629348.0,2393727235255.0,4304143039139.0,4696713331994.0
117,HCM,2020,4,12488827553087.0,6716571061080.0,4440354531385.0,8623841531603.0
118,HCM,2021,4,24369103140717.0,15039870130242.0,7325252922790.0,13690097115046.0
119,HCM,2022,4,15446955045214.0,6938057640000.0,7891832336224.0,7378982938005.0
120,SHS,2014,0,3172969633943.0,465000000000.0,907798164502.0,
121,SHS,2015,0,3360471593057.0,1097000000000.0,1027896243764.0,
122,SHS,2016,0,3314377817490.0,1423500000000.0,1113485946231.0,1714385482679.0
123,SHS,2017,0,4134483076920.0,1872310706528.0,1465935832463.0,2322600119143.0
124,SHS,2018,0,4868960490232.0,2417980000000.0,1865314388246.0,2051008965835.0
125,SHS,2019,0,6072677540220.0,1938000000000.0,2692335751182.0,1647839423627.0
126,SHS,2020,0,6929742693707.0,1894000000000.0,3226314819604.0,2171684164501.0
127,SHS,2021,0,10910883600024.0,3848000000000.0,6055579667733.0,5817012626522.0
128,SHS,2022,0,10899625766763.0,1067000000000.0,9435859429597.0,2355668531748.0
129,SHS,2016,1,3157407147309.0,1303000000000.0,1040042483441.0,990294673897.0
130,SHS,2017,1,3574075537855.0,1487600000000.0,1158646027151.0,2119267569224.0
131,SHS,2018,1,5022300444705.0,2148963174874.0,1640105753091.0,2862949721059.0
132,SHS,2019,1,5075160874095.0,2392000000000.0,1925200197447.0,1811217774499.0
133,SHS,2020,1,5931034597851.0,1854000000000.0,2738902747343.0,1282223383477.0
134,SHS,2021,1,6734431150794.0,1100000000000.0,3720694487279.0,2901855002047.0
135,SHS,2022,1,11774991758200.0,4326000000000.0,6427587890229.0,5009255292797.0
136,SHS,2023,1,11068281674683.0,1296000000000.0,9516267407661.0,3535778799157.0
137,SHS,2016,2,3718056282663.0,1547578228154.0,1065123732007.0,1398848246405.0
138,SHS,2017,2,4099308361361.0,1860600000000.0,1239042513455.0,2323000852226.0
